title,category_slug,area_slug,description,price,address,phone,email,website,whatsapp,amenities,image_url
Taj Alibaug Resort & Spa,stay,versoli,"A five-star resort right on Versoli beach offering luxurious rooms, a full-service spa, infinity pool, and fine dining with panoramic sea views. Perfect for a premium weekend escape from Mumbai.",18000,"Gondhalpada, Varsoli, Alibaug, Maharashtra 402209",02141350001,sales.alibaug@tajhotels.com,https://www.tajhotels.com/en-in/taj/taj-alibaug-resort-and-spa/,,Pool|WiFi|AC|Spa|Restaurant|Beach View|Free Parking|Gym|Smart TV|Caretaker,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Taj_Alibaug_front_view.jpg/1200px-Taj_Alibaug_front_view.jpg
Paradise Villas & Resort,stay,mandwa,"Beachside resort near Mandwa Jetty featuring private pool villas, lush tropical gardens, kids' play area, and multi-cuisine restaurant. Ideal for families arriving via the Mumbai-Mandwa ferry.",8500,"Near Coastal Heritage, Mandwa Beach, Alibaug, Maharashtra 402201",7798890000,info@paradiseresort.in,https://paradiseresort.in,,Pool|WiFi|AC|Kitchen|Garden|Free Parking|BBQ Grill|Pet Friendly|Smart TV,
Zostel Alibaug,stay,alibaug-town,"Alibaug's most popular backpacker hostel with private rooms and dorms, a social rooftop, bike rentals, and community events. Centrally located near Alibaug beach for easy exploration.",850,"Plot 147-148, Chondhi, Alibaug, Maharashtra 402201",9920336700,,https://www.zostel.com/zostel/alibaug/,,WiFi|Free Parking|Kitchen|AC,
Veranda Resort Alibaug,stay,alibaug-town,"A boutique eco-resort surrounded by verdant paddy fields and coconut groves. Offers treehouse cottages, organic meals, bird watching trails, and cycling routes through the village.",5500,"Tav Wadi, Alibaug, Maharashtra 402201",9833052666,reservations@verandaresort.com,https://verandaresort.com,,WiFi|Pool|Kitchen|Garden|Free Parking|Meals Included|Pet Friendly,
Kihim Courtyard by amã,stay,kihim,"A heritage-styled private villa managed by amã Stays & Trails with three bedrooms, a plunge pool, and a manicured courtyard. Minutes from the serene Kihim beach and butterfly sanctuary.",12000,"Kihim Village, Alibaug, Maharashtra 402201",8061873747,book@amastaysandtrails.com,https://amastaysandtrails.com,,Pool|WiFi|AC|Kitchen|Balcony|Garden|Caretaker|Smart TV,
Boardwalk by Flamboyante,eat,alibaug-town,"Alibaug's most iconic waterfront restaurant serving Continental, Indian, and seafood dishes with a stunning view of the Arabian Sea. Known for their wood-fired pizzas and fresh catch of the day.",,,Main Beach Road, Alibaug, Maharashtra 402201,9869127979,,https://www.instagram.com/boardwalkbyflamboyante/,,WiFi|AC|Sea View|Free Parking,
Kiki's Bar & Kitchen,eat,alibaug-town,"A lively beach shack-style restaurant famous for its Goan-Konkan fusion menu. Popular for chilled cocktails, prawn koliwada, and live music sessions on weekends.",,,Hill Road, Near Alibaug Beach, Alibaug, Maharashtra 402201,9561234567,,,,,WiFi|Sea View|Free Parking,
Buono Pizzeria,eat,alibaug-town,"Alibaug's favourite Italian bistro serving authentic wood-fired Neapolitan pizzas, fresh pastas, and homemade gelatos. A cosy indoor space with fairy lights and weekend brunches.",,,Near Katavle Bridge, Alibaug, Maharashtra 402201,9876501234,,,https://www.instagram.com/buonopizzeria.alibaug/,,WiFi|AC,
The Lighthouse Bistro,eat,versoli,"A charming cliffside cafe near Versoli beach known for all-day English breakfasts, fresh fruit juices, and spectacular sunset views. Excellent coffee and homemade cakes.",,,Varsoli Beach Road, Varsoli, Alibaug, Maharashtra 402209,9823412890,,,,Free Parking|Sea View|WiFi,
Sunderban Beach Shack,eat,nagaon,"An open-air beach shack right on Nagaon beach serving Konkan-style seafood — fresh bombil, surmai, and prawns prepared in traditional masalas. Perfect sundowner spot.",,,Nagaon Beach, Alibaug, Maharashtra 402201,9765432100,,,,WiFi|Sea View|Free Parking,
